Model is Bert, dataset is subj, undersample is True, aug mode is None, geo is 0.5, pct_usage is None, small_label is 0, small_prop is 0.5, balance_seed is 0, lr is 5e-06, max_epochs is 12, split_num is 0
Training epoch 0 | loss: 0.60892 - accuracy: 0.70356
Validating epoch 0 | loss: 0.38429 - accuracy: 0.907
Training epoch 1 | loss: 0.22514 - accuracy: 0.93078
Validating epoch 1 | loss: 0.14839 - accuracy: 0.953
Training epoch 2 | loss: 0.11711 - accuracy: 0.96211
Validating epoch 2 | loss: 0.1266 - accuracy: 0.962
Training epoch 3 | loss: 0.07602 - accuracy: 0.97911
Validating epoch 3 | loss: 0.14921 - accuracy: 0.956
Training epoch 4 | loss: 0.04918 - accuracy: 0.98856
Validating epoch 4 | loss: 0.14176 - accuracy: 0.957
Training epoch 5 | loss: 0.03694 - accuracy: 0.99122
Validating epoch 5 | loss: 0.15524 - accuracy: 0.956
Training epoch 6 | loss: 0.02687 - accuracy: 0.99478
Validating epoch 6 | loss: 0.16977 - accuracy: 0.955
Training epoch 7 | loss: 0.0225 - accuracy: 0.99533
Validating epoch 7 | loss: 0.17035 - accuracy: 0.956
Training epoch 8 | loss: 0.0208 - accuracy: 0.99567
Validating epoch 8 | loss: 0.182 - accuracy: 0.953
Training epoch 9 | loss: 0.0166 - accuracy: 0.99711
Validating epoch 9 | loss: 0.16827 - accuracy: 0.96
Training epoch 10 | loss: 0.01579 - accuracy: 0.997
Validating epoch 10 | loss: 0.18113 - accuracy: 0.955
Training epoch 11 | loss: 0.01336 - accuracy: 0.99789
Validating epoch 11 | loss: 0.17524 - accuracy: 0.957
Model is Bert, dataset is subj, undersample is False, aug mode is trans, geo is 0.1, pct_usage is None, small_label is 0, small_prop is 0.5, balance_seed is 0, lr is 5e-06, max_epochs is 12, split_num is 0
Training epoch 0 | loss: 0.61162 - accuracy: 0.67811
Validating epoch 0 | loss: 0.37448 - accuracy: 0.9
Training epoch 1 | loss: 0.27304 - accuracy: 0.91367
Validating epoch 1 | loss: 0.17601 - accuracy: 0.947
Training epoch 2 | loss: 0.18496 - accuracy: 0.94078
Validating epoch 2 | loss: 0.15182 - accuracy: 0.955
Training epoch 3 | loss: 0.15103 - accuracy: 0.95067
Validating epoch 3 | loss: 0.14331 - accuracy: 0.956
Training epoch 4 | loss: 0.12727 - accuracy: 0.95922
Validating epoch 4 | loss: 0.13938 - accuracy: 0.957
Training epoch 5 | loss: 0.11739 - accuracy: 0.96056
Validating epoch 5 | loss: 0.13771 - accuracy: 0.959
Training epoch 6 | loss: 0.1016 - accuracy: 0.97
Validating epoch 6 | loss: 0.13748 - accuracy: 0.954
Training epoch 7 | loss: 0.09539 - accuracy: 0.97067
Validating epoch 7 | loss: 0.1423 - accuracy: 0.957
Training epoch 8 | loss: 0.08879 - accuracy: 0.97356
Validating epoch 8 | loss: 0.1392 - accuracy: 0.957
Training epoch 9 | loss: 0.08093 - accuracy: 0.97578
Validating epoch 9 | loss: 0.14032 - accuracy: 0.951
Training epoch 10 | loss: 0.07749 - accuracy: 0.97733
Validating epoch 10 | loss: 0.14065 - accuracy: 0.951
Training epoch 11 | loss: 0.07594 - accuracy: 0.978
Validating epoch 11 | loss: 0.14057 - accuracy: 0.952
Model is Bert, dataset is subj, undersample is True, aug mode is None, geo is 0.5, pct_usage is None, small_label is 0, small_prop is 0.5, balance_seed is 0, lr is 2e-05, max_epochs is 3, split_num is 0
Training epoch 0 | loss: 0.33798 - accuracy: 0.86067
Validating epoch 0 | loss: 0.13537 - accuracy: 0.963
Training epoch 1 | loss: 0.09342 - accuracy: 0.975
Validating epoch 1 | loss: 0.12445 - accuracy: 0.963
Training epoch 2 | loss: 0.05178 - accuracy: 0.98811
Validating epoch 2 | loss: 0.12932 - accuracy: 0.963
