Model is Bert, dataset is subj, undersample is None, aug mode is context, geo is 0.1, pct_usage is 1.0, small_label is None, small_prop is None, balance_seed is 0, lr is 2e-05, max_epochs is 4, split_num is 1
Training epoch 0 | loss: 0.29858 - accuracy: 0.86944
Validating epoch 0 | loss: 0.13828 - accuracy: 0.954
Training epoch 1 | loss: 0.13886 - accuracy: 0.95
Validating epoch 1 | loss: 0.09415 - accuracy: 0.972
Training epoch 2 | loss: 0.11049 - accuracy: 0.96
Validating epoch 2 | loss: 0.09376 - accuracy: 0.971
Training epoch 3 | loss: 0.09205 - accuracy: 0.96633
Validating epoch 3 | loss: 0.09416 - accuracy: 0.971
Model is Bert, dataset is subj, undersample is None, aug mode is context, geo is 0.3, pct_usage is 1.0, small_label is None, small_prop is None, balance_seed is 0, lr is 2e-05, max_epochs is 4, split_num is 1
Training epoch 0 | loss: 0.26631 - accuracy: 0.89011
Validating epoch 0 | loss: 0.12901 - accuracy: 0.949
Training epoch 1 | loss: 0.09824 - accuracy: 0.96678
Validating epoch 1 | loss: 0.10922 - accuracy: 0.963
Training epoch 2 | loss: 0.0577 - accuracy: 0.98267
Validating epoch 2 | loss: 0.10018 - accuracy: 0.968
Training epoch 3 | loss: 0.04092 - accuracy: 0.98767
Validating epoch 3 | loss: 0.09762 - accuracy: 0.969
Model is Bert, dataset is subj, undersample is None, aug mode is context, geo is 0.5, pct_usage is 1.0, small_label is None, small_prop is None, balance_seed is 0, lr is 2e-05, max_epochs is 4, split_num is 1
Training epoch 0 | loss: 0.27716 - accuracy: 0.87989
Validating epoch 0 | loss: 0.12544 - accuracy: 0.957
Training epoch 1 | loss: 0.09427 - accuracy: 0.97011
Validating epoch 1 | loss: 0.10003 - accuracy: 0.965
Training epoch 2 | loss: 0.04826 - accuracy: 0.985
Validating epoch 2 | loss: 0.11371 - accuracy: 0.963
Training epoch 3 | loss: 0.02564 - accuracy: 0.993
Validating epoch 3 | loss: 0.12585 - accuracy: 0.961
Model is Bert, dataset is subj, undersample is None, aug mode is context, geo is 0.7, pct_usage is 1.0, small_label is None, small_prop is None, balance_seed is 0, lr is 2e-05, max_epochs is 4, split_num is 1
Training epoch 0 | loss: 0.2626 - accuracy: 0.89489
Validating epoch 0 | loss: 0.09733 - accuracy: 0.969
Training epoch 1 | loss: 0.08327 - accuracy: 0.97233
Validating epoch 1 | loss: 0.09735 - accuracy: 0.965
Training epoch 2 | loss: 0.03098 - accuracy: 0.991
Validating epoch 2 | loss: 0.10876 - accuracy: 0.971
Training epoch 3 | loss: 0.01335 - accuracy: 0.997
Validating epoch 3 | loss: 0.12079 - accuracy: 0.969
Model is Bert, dataset is subj, undersample is None, aug mode is context, geo is 0.9, pct_usage is 1.0, small_label is None, small_prop is None, balance_seed is 0, lr is 2e-05, max_epochs is 4, split_num is 1
Training epoch 0 | loss: 0.26785 - accuracy: 0.88756
Validating epoch 0 | loss: 0.11614 - accuracy: 0.954
Training epoch 1 | loss: 0.08685 - accuracy: 0.97022
Validating epoch 1 | loss: 0.11294 - accuracy: 0.963
Training epoch 2 | loss: 0.04234 - accuracy: 0.98622
Validating epoch 2 | loss: 0.11048 - accuracy: 0.962
Training epoch 3 | loss: 0.01963 - accuracy: 0.99556
Validating epoch 3 | loss: 0.12996 - accuracy: 0.966
