Model is Bert, dataset is sst, undersample is False, aug mode is None, geo is 0.5, small_label is None, small_prop is None, balance_seed is 0
Training epoch 0 | loss: 0.46183 - accuracy: 0.77514
Validating epoch 0 | loss: 0.37179 - accuracy: 0.86353
Training epoch 1 | loss: 0.24183 - accuracy: 0.91402
Validating epoch 1 | loss: 0.32253 - accuracy: 0.88761
Training epoch 2 | loss: 0.12518 - accuracy: 0.96705
Validating epoch 2 | loss: 0.51979 - accuracy: 0.88303
Training epoch 3 | loss: 0.05755 - accuracy: 0.98584
Validating epoch 3 | loss: 0.61068 - accuracy: 0.88303
Model is Bert, dataset is sst, undersample is False, aug mode is None, geo is 0.5, small_label is None, small_prop is None, balance_seed is 1
Training epoch 0 | loss: 0.43985 - accuracy: 0.78136
Validating epoch 0 | loss: 0.32685 - accuracy: 0.87156
Training epoch 1 | loss: 0.21387 - accuracy: 0.92558
Validating epoch 1 | loss: 0.39961 - accuracy: 0.875
Training epoch 2 | loss: 0.11075 - accuracy: 0.9711
Validating epoch 2 | loss: 0.52063 - accuracy: 0.88876
Training epoch 3 | loss: 0.05116 - accuracy: 0.98786
Validating epoch 3 | loss: 0.61571 - accuracy: 0.88417
Model is Bert, dataset is sst, undersample is False, aug mode is None, geo is 0.5, small_label is None, small_prop is None, balance_seed is 2
Training epoch 0 | loss: 0.446 - accuracy: 0.77905
Validating epoch 0 | loss: 0.33828 - accuracy: 0.86812
Training epoch 1 | loss: 0.21706 - accuracy: 0.92355
Validating epoch 1 | loss: 0.39458 - accuracy: 0.87729
Training epoch 2 | loss: 0.10019 - accuracy: 0.97269
Validating epoch 2 | loss: 0.55228 - accuracy: 0.88303
Training epoch 3 | loss: 0.04874 - accuracy: 0.98829
Validating epoch 3 | loss: 0.60309 - accuracy: 0.88876
Model is Bert, dataset is sst, undersample is False, aug mode is None, geo is 0.5, small_label is None, small_prop is None, balance_seed is 3
Training epoch 0 | loss: 0.43269 - accuracy: 0.79234
Validating epoch 0 | loss: 0.30877 - accuracy: 0.87615
Training epoch 1 | loss: 0.22301 - accuracy: 0.92457
Validating epoch 1 | loss: 0.41677 - accuracy: 0.87729
Training epoch 2 | loss: 0.10969 - accuracy: 0.96994
Validating epoch 2 | loss: 0.56562 - accuracy: 0.88188
Training epoch 3 | loss: 0.05572 - accuracy: 0.98699
Validating epoch 3 | loss: 0.66097 - accuracy: 0.88073
Model is Bert, dataset is sst, undersample is False, aug mode is None, geo is 0.5, small_label is None, small_prop is None, balance_seed is 4
Training epoch 0 | loss: 0.44042 - accuracy: 0.78165
Validating epoch 0 | loss: 0.34459 - accuracy: 0.87271
Training epoch 1 | loss: 0.21964 - accuracy: 0.92052
Validating epoch 1 | loss: 0.33399 - accuracy: 0.87729
Training epoch 2 | loss: 0.10613 - accuracy: 0.9685
Validating epoch 2 | loss: 0.51934 - accuracy: 0.88647
Training epoch 3 | loss: 0.0554 - accuracy: 0.98613
Validating epoch 3 | loss: 0.62293 - accuracy: 0.88188
